entity,code,year,life_expectancy_0
Chile,CHL,1900,29
Chile,CHL,1902,32
Chile,CHL,1907,30.5
Chile,CHL,1910,30
Chile,CHL,1912,31.9
Chile,CHL,1917,32.2
Chile,CHL,1920,31
Chile,CHL,1922,31.6
Chile,CHL,1927,37
Chile,CHL,1930,35
Chile,CHL,1932,38.7
Chile,CHL,1937,39.1
Chile,CHL,1940,38
Chile,CHL,1942,44
Chile,CHL,1947,47.9
Chile,CHL,1950,53.1513
Chile,CHL,1951,53.5373
Chile,CHL,1952,53.929
Chile,CHL,1953,54.3125
Chile,CHL,1954,54.7141
Chile,CHL,1955,54.9278
Chile,CHL,1956,55.4818
Chile,CHL,1957,55.7734
Chile,CHL,1958,56.2881
Chile,CHL,1959,56.6425
Chile,CHL,1960,57.2163
Chile,CHL,1961,57.3091
Chile,CHL,1962,57.8108
Chile,CHL,1963,58.3487
Chile,CHL,1964,58.8118
Chile,CHL,1965,59.4726
Chile,CHL,1966,60.3733
Chile,CHL,1967,61.0536
Chile,CHL,1968,61.6798
Chile,CHL,1969,62.341
Chile,CHL,1970,62.6344
Chile,CHL,1971,63.0715
Chile,CHL,1972,63.717
Chile,CHL,1973,64.42
Chile,CHL,1974,65.0853
Chile,CHL,1975,66.0374
Chile,CHL,1976,66.8193
Chile,CHL,1977,67.5294
Chile,CHL,1978,68.0421
Chile,CHL,1979,68.8581
Chile,CHL,1980,69.4748
Chile,CHL,1981,69.8222
Chile,CHL,1982,70.291
Chile,CHL,1983,70.8302
Chile,CHL,1984,71.2153
Chile,CHL,1985,71.6153
Chile,CHL,1986,72.0606
Chile,CHL,1987,72.4662
Chile,CHL,1988,72.7881
Chile,CHL,1989,73.1876
Chile,CHL,1990,73.6752
Chile,CHL,1991,74.0824
Chile,CHL,1992,74.3673
Chile,CHL,1993,74.6793
Chile,CHL,1994,74.973
Chile,CHL,1995,75.2984
Chile,CHL,1996,75.5548
Chile,CHL,1997,75.8262
Chile,CHL,1998,76.3241
Chile,CHL,1999,76.7382
Chile,CHL,2000,77.1276
Chile,CHL,2001,77.5798
Chile,CHL,2002,77.8397
Chile,CHL,2003,77.8841
Chile,CHL,2004,78.2765
Chile,CHL,2005,78.4589
Chile,CHL,2006,78.5328
Chile,CHL,2007,78.6519
Chile,CHL,2008,78.7518
Chile,CHL,2009,78.8901
Chile,CHL,2010,79.0954
Chile,CHL,2011,79.2357
Chile,CHL,2012,79.2211
Chile,CHL,2013,79.5509
Chile,CHL,2014,79.7137
Chile,CHL,2015,80.0079
Chile,CHL,2016,80.2949
Chile,CHL,2017,80.6096
Chile,CHL,2018,80.5594
Chile,CHL,2019,80.3243
Chile,CHL,2020,79.3488
Chile,CHL,2021,78.8764
Chile,CHL,2022,79.1762
Chile,CHL,2023,81.1667
